x,y,lonlat,perimeter,diameter,localidad,f.use
550282,4756867,42.96279704198241 -2.3834769800305367,,27,150,rec_esta
550313,4756829,42.96244965400547 -2.3830961901694536,,22.2,151,rec_esta
550327,4756837,42.96252483967692 -2.382919415831566,,27,152,rec_esta
550342,4756833,42.962486408650875 -2.382735600695014,,26.6,153,rec_esta
550374,4756834,42.962489342316985 -2.3823493625968695,,30,154,rec_esta
550362,4756852,42.962651532143354 -2.382499147206545,,29,155,rec_esta
550365,4756877,42.96287939418107 -2.3824512865394354,,21.8,156,rec_esta
550373,4756872,42.96282893512398 -2.3823584988713264,,33,157,rec_esta
550402,4756880,42.96290630009025 -2.381994556635618,,32,158,rec_esta
550358,4756922,42.963279923424125 -2.382529992610216,,42,159,rec_esta
550378,4756902,42.96310071833432 -2.3822911083698273,,23.5,160,rec_esta
550037,4756547,42.95993139501661 -2.3865022603422403,,24,161,rec_esta
550046,4756531,42.95978630427271 -2.38639866001904,,21,162,rec_esta
550042,4756519,42.95967863872647 -2.38644995726645,,30.7,163,rec_esta
550033,4756518,42.959664263762534 -2.386554731056094,,28,164,rec_esta
550039,4756477,42.95929663348943 -2.3864816408604383,,31,165,rec_esta
550038,4756471,42.9592402651906 -2.3864983208477497,,33.5,166,rec_esta
550050,4756464,42.95917828101665 -2.386359181255102,,37.2,167,rec_esta
550062,4756464,42.95917731709778 -2.386206379160285,,23.2,168,rec_esta
550053,4756440,42.95896835625172 -2.3863219656050205,,25,169,rec_esta
550084,4756446,42.959020072594285 -2.3859341349452734,,26.7,170,rec_esta
550097,4756442,42.9589812643826 -2.385783763602376,,22.5,171,rec_esta
550110,4756448,42.95903553720564 -2.3856215737760067,,30.5,172,rec_esta
550098,4756457,42.95911793131381 -2.3857618868350983,,37,173,rec_esta
550099,4756478,42.959301033988595 -2.3857521638274193,,28.8,174,rec_esta
550120,4756476,42.95928452163935 -2.3854925762861967,,36,175,rec_esta
550139,4756528,42.95974657405168 -2.385252770036459,,22.5,176,rec_esta
550106,4756568,42.96010963618755 -2.3856534250080585,,23,177,rec_esta
550105,4756575,42.96017421875149 -2.3856633994728327,,27.8,178,rec_esta
550108,4756593,42.96033754013479 -2.385632637888193,,18.5,179,rec_esta
550118,4756599,42.960394117981195 -2.38550397567451,,21.5,180,rec_esta
552059,4755609,42.951342542655766 -2.361806659027934,,48,181,long_esta
552035,4755602,42.95128747355193 -2.3620919790118933,,43,182,long_esta
552039,4755557,42.95088178943843 -2.3620526678860188,,48,183,long_esta
552049,4755536,42.950692316517234 -2.361934818327427,,23.8,184,long_esta
552067,4755605,42.95130863785744 -2.361703645437956,,32,185,long_esta
552059,4755627,42.95150657650083 -2.3618020489811897,,53,186,long_esta
552055,4755626,42.951499074697495 -2.3618473950773478,,28,187,long_esta
552062,4755658,42.951785987243056 -2.3617646656930447,,33,188,long_esta
552032,4755639,42.95162036083639 -2.3621283564716578,,25,189,long_esta
552025,4755637,42.95160250738263 -2.3622211441397667,,49,190,long_esta
551977,4755649,42.9517139447853 -2.3627990763634443,,34,191,long_esta
551953,4755637,42.95160363893956 -2.363099819049239,,58,192,long_esta
551940,4755612,42.95138013549149 -2.363260332494974,,30,193,long_esta
551948,4755597,42.95124870724976 -2.3631585761904716,,44,194,long_esta
551990,4755604,42.951310691423714 -2.362649878486991,,33,195,long_esta
551999,4755617,42.95142699033022 -2.362531442195177,,32,196,long_esta
551977,4755666,42.95186507049948 -2.3627984058111906,,48,197,long_esta
551970,4755694,42.95212029945105 -2.362886583432555,,45,198,long_esta
551937,4755653,42.95175204053521 -2.3632952850311995,,42,199,long_esta
552084,4755608,42.95133210718632 -2.361498037353158,,53,200,long_esta
551091,4755749,42.952676941640675 -2.373652132228017,,42,201,long_esta
551081,4755792,42.953057144768536 -2.373770149424672,,32.2,202,long_esta
551099,4755815,42.9532629204914 -2.373546101152897,,52.4,203,long_esta
551062,4755813,42.95324925798923 -2.3740100394934416,,59,204,long_esta
551088,4755824,42.95334787108004 -2.3736846540123224,,38.7,205,long_esta
